condition,model,dataset,strategy,n,correct,accuracy,empty_myanswer,n_debate,n_no_debate,debate_rate,n_disagree,c_recoverable,acc_debate,recovery,acc_no_debate,file,m,anchor,anchor_rate,n_A_H2,n_B_H2,w_A_H2,recovery_blind_H2,recovery_H2,skill_H2,reps_undefined,reps_skill_undefined
challenge_CN,GPT 4.1 mini,TruthfulQA,Challenge,817,680,0.8323133414932681,0,71,746,0.08690330477356181,71,0.7183098591549296,0.4647887323943662,0.2941176470588234,0.8672922252010724,GPT 4.1 mini_TruthfulQA_Challenge.json,0.3591549295774648,agent2,0.5900000000000001,11.3,14.29,0.4399887840768304,-0.12002243184633919,0.28917160938047565,0.35868981452843685,0,0
challenge_CN,QWEN 3-8b,TruthfulQA,Challenge,817,611,0.7478580171358629,1,151,666,0.18482252141982863,151,0.6821192052980133,0.4304635761589404,0.26213592233009697,0.8198198198198198,QWEN 3-8b_TruthfulQA_Challenge.json,0.34105960264900664,agent2,0.565,24.31,27.9,0.46516704617660665,-0.06966590764678675,0.2625017013227304,0.30719542863082283,0,0
challenge_EN,Deepseek,CommenseQA,Challenge,6000,4911,0.8185,3,517,5483,0.08616666666666667,517,0.8123791102514507,0.5241779497098646,0.29047619047619055,0.8462520517964618,Deepseek_CommenseQA_Challenge.json,0.40618955512572535,agent1,0.91,109.355,101.27,0.5193010305751996,0.03860206115039919,0.28839212148551374,0.25653069817789137,0,0
challenge_EN,GPT 4.1 mini,CommenseQA,Challenge,6000,4828,0.8046666666666666,0,485,5515,0.08083333333333333,485,0.8185567010309278,0.5257731958762887,0.2846347607052897,0.829193109700816,GPT 4.1 mini_CommenseQA_Challenge.json,0.4092783505154639,agent1,0.55,95.295,103.53,0.4793336047521241,-0.04133279049575175,0.28670882829361954,0.31414639265889155,0,0
challenge_EN,QWEN 3-8b,CommenseQA,Challenge,6000,4647,0.7745,0,428,5572,0.07133333333333333,428,0.822429906542056,0.4766355140186916,0.15909090909090917,0.7973797559224695,QWEN 3-8b_CommenseQA_Challenge.json,0.411214953271028,agent2,0.89,90.515,86.26,0.5121688575139249,0.0243377150278498,0.1565492531903976,0.13187675403407556,0,0
challenge_EN,Deepseek,MMLU,Challenge,5938,5413,0.9115863927248232,4,253,5685,0.04260693836308521,253,0.8102766798418972,0.5533596837944664,0.36585365853658547,0.9275285839929639,Deepseek_MMLU_Challenge.json,0.4051383399209486,agent2,0.52,48.75,54.275,0.4732125019971346,-0.05357499600573075,0.3673808587930988,0.39831195563197097,0,0
challenge_EN,GPT 4.1 mini,MMLU,Challenge,5938,5273,0.888009430784776,0,307,5631,0.0517009093971034,307,0.8338762214983714,0.5667752442996743,0.359375,0.9055229976913515,GPT 4.1 mini_MMLU_Challenge.json,0.4169381107491857,agent1,0.835,66.245,63.44,0.5107363209090403,0.021472641818080576,0.3587707864574597,0.33845795287254604,0,0
challenge_EN,QWEN 3-8b,MMLU,Challenge,5938,4696,0.7908386662175817,3,485,5453,0.08167733243516336,485,0.7876288659793814,0.49690721649484537,0.26178010471204205,0.8169814780854575,QWEN 3-8b_MMLU_Challenge.json,0.3938144329896907,agent2,0.855,96.7,94.47,0.5059522598847327,0.011904519769465582,0.25656686630669756,0.24449366503579248,0,0
challenge_EN,Deepseek,MathQA,Challenge,2985,2725,0.9128978224455612,5,117,2868,0.03919597989949749,117,0.7521367521367521,0.5128205128205128,0.36363636363636354,0.9292189679218968,Deepseek_MathQA_Challenge.json,0.37606837606837606,agent2,0.755,21.25,22.79,0.482986617347092,-0.034026765305816026,0.36069248039672247,0.3739088950677052,0,0
challenge_EN,GPT 4.1 mini,MathQA,Challenge,2985,2690,0.9011725293132329,0,175,2810,0.05862646566164154,175,0.6514285714285715,0.42857142857142855,0.3157894736842104,0.9306049822064056,GPT 4.1 mini_MathQA_Challenge.json,0.32571428571428573,agent2,1.0,38.21,19.03,0.6673856869876335,0.33477137397526674,0.32047815319514683,-0.03990779470376318,0,0
challenge_EN,QWEN 3-8b,MathQA,Challenge,2985,2487,0.8331658291457287,2,367,2618,0.12294807370184255,367,0.7084468664850136,0.5340599455040872,0.5076923076923077,0.8750954927425516,QWEN 3-8b_MathQA_Challenge.json,0.3542234332425068,agent2,0.5700000000000001,62.19,68.305,0.47651529977519,-0.04696940044961998,0.5102803559432629,0.531425082236244,0,0
challenge_EN,Deepseek,TruthfulQA,Challenge,817,700,0.8567931456548348,0,63,754,0.07711138310893513,63,0.7936507936507936,0.5238095238095238,0.32000000000000006,0.8846153846153846,Deepseek_TruthfulQA_Challenge.json,0.3968253968253968,agent2,0.6,11.36,13.815,0.45053642245489156,-0.09892715509021699,0.3156358115255613,0.3702195010871482,0,0
challenge_EN,GPT 4.1 mini,TruthfulQA,Challenge,817,693,0.8482252141982864,0,62,755,0.07588739290085679,62,0.6935483870967742,0.45161290322580644,0.3023255813953487,0.8807947019867549,GPT 4.1 mini_TruthfulQA_Challenge.json,0.3467741935483871,agent1,0.585,9.53,12.03,0.44017868074805444,-0.11964263850389109,0.29193151829746605,0.3609425174498704,0,0
challenge_EN,QWEN 3-8b,TruthfulQA,Challenge,817,620,0.758873929008568,1,93,724,0.11383108935128519,93,0.6344086021505376,0.44086021505376344,0.38983050847457634,0.7997237569060773,QWEN 3-8b_TruthfulQA_Challenge.json,0.3172043010752688,agent2,0.835,14.78,14.62,0.5027292278281112,0.005458455656222367,0.4111344867608196,0.39363187468706046,0,0
